
  Obs                     str             key  node1   node2  node3         node4
-----  ----------------------  --------------  -----  ------  -----  ------------
    1  1 0.0 0.0 0.0           *NODE               1       0      0             0
    2  2 1.0 0.0 0.0           *NODE               2       1      0             0
    3  3 0.0 1.0 0.0           *NODE               3       0      1             0
    4  4 1.0 1.0 0.0           *NODE               4       1      1             0
    5  5 2.0 0.5 0.1           *NODE               5       2    0.5           0.1
    6  100 1 2 3 1             *ELEMENT_SHELL    100       1      2             3
    7  101 2 4 3 1             *ELEMENT_SHELL    101       2      4             3
    8  102 2 4 5 1             *ELEMENT_SHELL    102       2      4             5
    9  1 210000.0 0.3 7.85E-9  *MAT_LAW51          1  210000    0.3  0.0000000079
   10  1 1.0 0.0 0.0                               1       1      0             0

