
  Obs             key  _name_   _value_
-----  --------------  ------  --------
    1  *NODE           node1   1.00E+00
    2  *NODE           node2   0.00E+00
    3  *NODE           node3   0.00E+00
    4  *NODE           node4   0.00E+00
    5  *NODE           node1   2.00E+00
    6  *NODE           node2   1.00E+00
    7  *NODE           node3   0.00E+00
    8  *NODE           node4   0.00E+00
    9  *ELEMENT_SHELL  node1   1.00E+02
   10  *ELEMENT_SHELL  node2   1.00E+00
   11  *ELEMENT_SHELL  node3   2.00E+00
   12  *ELEMENT_SHELL  node4   3.00E+00
   13  *MAT_LAW51      node1   1.00E+00
   14  *MAT_LAW51      node2   2.10E+05
   15  *MAT_LAW51      node3   3.00E-01
   16  *MAT_LAW51      node4   1.00E+00
   17  *PROP_SHELL     node1   1.00E+00
   18  *PROP_SHELL     node2   1.00E+00
   19  *PROP_SHELL     node3   0.00E+00
   20  *PROP_SHELL     node4   0.00E+00

